1	CpB	12.0107	0.0700	3.55000	0.00000
2	CC1	12.0107	0.0700	3.55000	0.00000
3	CC2	12.0107	0.0700	3.55000	0.29000
4	CE	12.0107	0.0660	3.55000	0.14000
5	CH	12.0107	0.0700	3.55000	0.15000
6	CW	12.0107	0.0700	3.55000	0.00000
7	OC1	15.9994	0.1400	3.00000	-0.1400
8	OC2	15.9994	0.1700	3.00000	-0.5850
9	OE	15.9994	0.1400	2.90000	-0.2800
10	OH	15.9994	0.1700	3.00000	-0.5850
11	OW	15.9994	0.1554	3.16557	-0.8476
12	OD	15.9994	0.1554	3.16557	-0.8700
13	HC	1.00794	0.0460	0.40000	0.43500
14	HH	1.00794	0.0460	0.40000	0.43500
15	HW	1.00794	0.0000	0.00000	0.42380
16	HD	2.01410	0.0000	0.00000	0.43500
17	CpE	12.0107	0.0700	3.55000	0.00000
