

 18960 atoms
17 atom types
-2.2204e-16 168 xlo xhi
0 31.5233 ylo yhi
-51.5 51.5 zlo zhi

Masses

1  12.01070 # CpB
2  12.01070 # CC1
3  12.01070 # CC2
4  12.01070 # CE
5  12.01070 # CH
6  12.01070 # CW
7  15.99940 # OC1
8  15.99940 # OC2
9  15.99940 # OE
10  15.99940 # OH
11  15.99940 # OW
12  15.99940 # OD
13  1.00794 # HC
14  1.00794 # HH
15  1.00794 # HW
16  2.01410 # HD
17  12.01070 # CpE
Atoms # charge

1 17 0.000000 0.700000 0.000000  0.000000
2 17 0.000000 4.900000 0.000000  0.000000
3 17 0.000000 9.100000 0.000000  0.000000
4 17 0.000000 13.300000 0.000000  0.000000
5 1 0.000000 0.700000 2.424871  0.000000
6 1 0.000000 4.900000 2.424871  0.000000
7 1 0.000000 9.100000 2.424871  0.000000
8 1 0.000000 13.300000 2.424871  0.000000
9 1 0.000000 0.700000 4.849742  0.000000
10 5 0.000000 4.900000 4.849742  0.000000
11 5 0.000000 9.100000 4.849742  0.000000
12 1 0.000000 13.300000 4.849742  0.000000
13 5 0.000000 0.700000 7.274613  0.000000
14 4 0.000000 4.900000 7.274613  0.000000
15 1 0.000000 9.100000 7.274613  0.000000
16 5 0.000000 13.300000 7.274613  0.000000
17 4 0.000000 0.700000 9.699485  0.000000
18 1 0.000000 4.900000 9.699485  0.000000
19 1 0.000000 9.100000 9.699485  0.000000
20 4 0.000000 13.300000 9.699485  0.000000
21 1 0.000000 0.700000 12.124356  0.000000
22 4 0.000000 4.900000 12.124356  0.000000
23 1 0.000000 9.100000 12.124356  0.000000
24 1 0.000000 13.300000 12.124356  0.000000
25 1 0.000000 0.700000 14.549227  0.000000
26 5 0.000000 4.900000 14.549227  0.000000
27 1 0.000000 9.100000 14.549227  0.000000
28 1 0.000000 13.300000 14.549227  0.000000
29 1 0.000000 0.700000 16.974098  0.000000
30 1 0.000000 4.900000 16.974098  0.000000
31 1 0.000000 9.100000 16.974098  0.000000
32 4 0.000000 13.300000 16.974098  0.000000
33 5 0.000000 0.700000 19.398969  0.000000
34 4 0.000000 4.900000 19.398969  0.000000
35 1 0.000000 9.100000 19.398969  0.000000
36 1 0.000000 13.300000 19.398969  0.000000
37 1 0.000000 0.700000 21.823840  0.000000
38 5 0.000000 4.900000 21.823840  0.000000
39 4 0.000000 9.100000 21.823840  0.000000
40 4 0.000000 13.300000 21.823840  0.000000
41 5 0.000000 0.700000 24.248711  0.000000
42 1 0.000000 4.900000 24.248711  0.000000
43 1 0.000000 9.100000 24.248711  0.000000
44 4 0.000000 13.300000 24.248711  0.000000
45 1 0.000000 0.700000 26.673582  0.000000
46 1 0.000000 4.900000 26.673582  0.000000
47 1 0.000000 9.100000 26.673582  0.000000
48 1 0.000000 13.300000 26.673582  0.000000
49 1 0.000000 0.700000 29.098454  0.000000
50 1 0.000000 4.900000 29.098454  0.000000
51 1 0.000000 9.100000 29.098454  0.000000
52 1 0.000000 13.300000 29.098454  0.000000
53 17 0.000000 2.100000 0.000000  0.000000
54 17 0.000000 6.300000 0.000000  0.000000
55 17 0.000000 10.500000 0.000000  0.000000
56 17 0.000000 14.700000 0.000000  0.000000
57 1 0.000000 2.100000 2.424871  0.000000
58 1 0.000000 6.300000 2.424871  0.000000
59 1 0.000000 10.500000 2.424871  0.000000
60 1 0.000000 14.700000 2.424871  0.000000
61 4 0.000000 2.100000 4.849742  0.000000
62 4 0.000000 6.300000 4.849742  0.000000
63 4 0.000000 10.500000 4.849742  0.000000
64 1 0.000000 14.700000 4.849742  0.000000
65 1 0.000000 2.100000 7.274613  0.000000
66 4 0.000000 6.300000 7.274613  0.000000
67 4 0.000000 10.500000 7.274613  0.000000
68 4 0.000000 14.700000 7.274613  0.000000
69 1 0.000000 2.100000 9.699485  0.000000
70 1 0.000000 6.300000 9.699485  0.000000
71 1 0.000000 10.500000 9.699485  0.000000
72 1 0.000000 14.700000 9.699485  0.000000
73 1 0.000000 2.100000 12.124356  0.000000
74 4 0.000000 6.300000 12.124356  0.000000
75 1 0.000000 10.500000 12.124356  0.000000
76 1 0.000000 14.700000 12.124356  0.000000
77 1 0.000000 2.100000 14.549227  0.000000
78 1 0.000000 6.300000 14.549227  0.000000
79 4 0.000000 10.500000 14.549227  0.000000
80 1 0.000000 14.700000 14.549227  0.000000
81 1 0.000000 2.100000 16.974098  0.000000
82 5 0.000000 6.300000 16.974098  0.000000
83 1 0.000000 10.500000 16.974098  0.000000
84 4 0.000000 14.700000 16.974098  0.000000
85 5 0.000000 2.100000 19.398969  0.000000
86 4 0.000000 6.300000 19.398969  0.000000
87 1 0.000000 10.500000 19.398969  0.000000
88 1 0.000000 14.700000 19.398969  0.000000
89 4 0.000000 2.100000 21.823840  0.000000
90 1 0.000000 6.300000 21.823840  0.000000
91 5 0.000000 10.500000 21.823840  0.000000
92 5 0.000000 14.700000 21.823840  0.000000
93 1 0.000000 2.100000 24.248711  0.000000
94 1 0.000000 6.300000 24.248711  0.000000
95 1 0.000000 10.500000 24.248711  0.000000
96 4 0.000000 14.700000 24.248711  0.000000
97 1 0.000000 2.100000 26.673582  0.000000
98 1 0.000000 6.300000 26.673582  0.000000
99 1 0.000000 10.500000 26.673582  0.000000
100 1 0.000000 14.700000 26.673582  0.000000
101 1 0.000000 2.100000 29.098454  0.000000
102 1 0.000000 6.300000 29.098454  0.000000
103 1 0.000000 10.500000 29.098454  0.000000
104 1 0.000000 14.700000 29.098454  0.000000
105 17 0.000000 0.000000 1.212436  0.000000
106 1 0.000000 4.200000 1.212436  0.000000
107 1 0.000000 8.400000 1.212436  0.000000
108 1 0.000000 12.600000 1.212436  0.000000
109 17 0.000000 0.000000 3.637307  0.000000
110 5 0.000000 4.200000 3.637307  0.000000
111 1 0.000000 8.400000 3.637307  0.000000
112 1 0.000000 12.600000 3.637307  0.000000
113 17 0.000000 0.000000 6.062178  0.000000
114 4 0.000000 4.200000 6.062178  0.000000
115 5 0.000000 8.400000 6.062178  0.000000
116 1 0.000000 12.600000 6.062178  0.000000
117 5 0.000000 0.000000 8.487049  0.000000
118 1 0.000000 4.200000 8.487049  0.000000
119 1 0.000000 8.400000 8.487049  0.000000
120 5 0.000000 12.600000 8.487049  0.000000
121 4 0.000000 0.000000 10.911920  0.000000
122 1 0.000000 4.200000 10.911920  0.000000
123 1 0.000000 8.400000 10.911920  0.000000
124 4 0.000000 12.600000 10.911920  0.000000
125 17 0.000000 0.000000 13.336791  0.000000
126 5 0.000000 4.200000 13.336791  0.000000
127 1 0.000000 8.400000 13.336791  0.000000
128 1 0.000000 12.600000 13.336791  0.000000
129 17 0.000000 0.000000 15.761662  0.000000
130 1 0.000000 4.200000 15.761662  0.000000
131 1 0.000000 8.400000 15.761662  0.000000
132 5 0.000000 12.600000 15.761662  0.000000
133 17 0.000000 0.000000 18.186533  0.000000
134 1 0.000000 4.200000 18.186533  0.000000
135 1 0.000000 8.400000 18.186533  0.000000
136 1 0.000000 12.600000 18.186533  0.000000
137 17 0.000000 0.000000 20.611405  0.000000
138 5 0.000000 4.200000 20.611405  0.000000
139 4 0.000000 8.400000 20.611405  0.000000
140 4 0.000000 12.600000 20.611405  0.000000
141 17 0.000000 0.000000 23.036276  0.000000
142 1 0.000000 4.200000 23.036276  0.000000
143 1 0.000000 8.400000 23.036276  0.000000
144 4 0.000000 12.600000 23.036276  0.000000
145 5 0.000000 0.000000 25.461147  0.000000
146 1 0.000000 4.200000 25.461147  0.000000
147 1 0.000000 8.400000 25.461147  0.000000
148 5 0.000000 12.600000 25.461147  0.000000
149 17 0.000000 0.000000 27.886018  0.000000
150 1 0.000000 4.200000 27.886018  0.000000
151 1 0.000000 8.400000 27.886018  0.000000
152 1 0.000000 12.600000 27.886018  0.000000
153 17 0.000000 0.000000 30.310889  0.000000
154 17 0.000000 4.200000 30.310889  0.000000
155 17 0.000000 8.400000 30.310889  0.000000
156 17 0.000000 12.600000 30.310889  0.000000
157 1 0.000000 2.800000 1.212436  0.000000
158 1 0.000000 7.000000 1.212436  0.000000
159 1 0.000000 11.200000 1.212436  0.000000
160 17 0.000000 15.400000 1.212436  0.000000
161 4 0.000000 2.800000 3.637307  0.000000
162 1 0.000000 7.000000 3.637307  0.000000
163 1 0.000000 11.200000 3.637307  0.000000
164 17 0.000000 15.400000 3.637307  0.000000
165 1 0.000000 2.800000 6.062178  0.000000
166 4 0.000000 7.000000 6.062178  0.000000
167 4 0.000000 11.200000 6.062178  0.000000
168 4 0.000000 15.400000 6.062178  0.000000
169 1 0.000000 2.800000 8.487049  0.000000
170 4 0.000000 7.000000 8.487049  0.000000
171 4 0.000000 11.200000 8.487049  0.000000
172 17 0.000000 15.400000 8.487049  0.000000
173 1 0.000000 2.800000 10.911920  0.000000
174 1 0.000000 7.000000 10.911920  0.000000
175 1 0.000000 11.200000 10.911920  0.000000
176 17 0.000000 15.400000 10.911920  0.000000
177 1 0.000000 2.800000 13.336791  0.000000
178 1 0.000000 7.000000 13.336791  0.000000
179 4 0.000000 11.200000 13.336791  0.000000
180 17 0.000000 15.400000 13.336791  0.000000
181 1 0.000000 2.800000 15.761662  0.000000
182 1 0.000000 7.000000 15.761662  0.000000
183 5 0.000000 11.200000 15.761662  0.000000
184 17 0.000000 15.400000 15.761662  0.000000
185 1 0.000000 2.800000 18.186533  0.000000
186 5 0.000000 7.000000 18.186533  0.000000
187 1 0.000000 11.200000 18.186533  0.000000
188 17 0.000000 15.400000 18.186533  0.000000
189 4 0.000000 2.800000 20.611405  0.000000
190 1 0.000000 7.000000 20.611405  0.000000
191 5 0.000000 11.200000 20.611405  0.000000
192 17 0.000000 15.400000 20.611405  0.000000
193 1 0.000000 2.800000 23.036276  0.000000
194 1 0.000000 7.000000 23.036276  0.000000
195 1 0.000000 11.200000 23.036276  0.000000
196 5 0.000000 15.400000 23.036276  0.000000
197 1 0.000000 2.800000 25.461147  0.000000
198 1 0.000000 7.000000 25.461147  0.000000
199 5 0.000000 11.200000 25.461147  0.000000
200 4 0.000000 15.400000 25.461147  0.000000
201 1 0.000000 2.800000 27.886018  0.000000
202 1 0.000000 7.000000 27.886018  0.000000
203 1 0.000000 11.200000 27.886018  0.000000
204 17 0.000000 15.400000 27.886018  0.000000
205 17 0.000000 2.800000 30.310889  0.000000
206 17 0.000000 7.000000 30.310889  0.000000
207 17 0.000000 11.200000 30.310889  0.000000
208 17 0.000000 15.400000 30.310889  0.000000
209 9 0.000000 0.350000 10.305702  -1.120000
210 9 0.000000 2.450000 4.243524  -1.120000
211 9 0.000000 4.550000 6.668396  1.120000
212 9 0.000000 6.650000 5.455960  1.120000
213 9 0.000000 10.850000 5.455960  1.120000
214 9 0.000000 15.050000 6.668396  1.120000
215 9 0.000000 10.850000 7.880831  1.120000
216 9 0.000000 6.650000 7.880831  1.120000
217 9 0.000000 12.950000 10.305702  -1.120000
218 9 0.000000 5.600000 12.124356  1.120000
219 9 0.000000 10.850000 13.943009  1.120000
220 9 0.000000 14.000000 16.974098  -1.120000
221 9 0.000000 5.600000 19.398969  -1.120000
222 9 0.000000 2.450000 21.217622  1.120000
223 9 0.000000 8.750000 21.217622  1.120000
224 9 0.000000 12.950000 21.217622  1.120000
225 9 0.000000 12.950000 23.642494  1.120000
226 9 0.000000 15.050000 24.854929  1.120000
227 10 0.000000 0.700000 7.274613  1.350000
228 14 0.000000 -0.207698 7.274613  1.662545
229 10 0.000000 0.000000 8.487049  1.350000
230 14 0.000000 -0.907698 8.487049  1.662545
