LAMMPS (31 Mar 2017)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-1.0556 -1.05564 -1.05564) to (83.4466 83.4466 83.4466)
  6 by 4 by 4 MPI processor grid
  reading atoms ...
  63998 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          0         
  special bond factors coul: 0          0          0         
  0 = max # of 1-2 neighbors
  0 = max # of 1-3 neighbors
  0 = max # of 1-4 neighbors
  1 = max # of special neighbors
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          1         
  special bond factors coul: 0          0          1         
  0 = max # of 1-2 neighbors
  0 = max # of 1-3 neighbors
  1 = max # of special neighbors
1 atoms in group pull
3199 atoms in group freez
PPPM initialization ...
WARNING: Using 12-bit tables for long-range coulomb (../kspace.cpp:321)
  G vector (1/distance) = 0.294194
  grid = 125 125 125
  stencil order = 5
  estimated absolute RMS force accuracy = 0.000416749
  estimated relative force accuracy = 1.25503e-06
  using double precision FFTs
  3d grid and FFT values/proc = 44109 31250
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 10000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 13 13 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 13.91 | 14.36 | 15.08 Mbytes
Step TotEng Temp Press PotEng KinEng Enthalpy f_9[3] f_9[4] f_9[5] f_9[6] f_9[7] 
   22200    -10084085    917.39803   -875.97603    -10259090    175005.51    -10091792   -40.438739   -40.438739    59.839241    83.466181  -0.13292873 
   22400    -10080726    921.67083    880.20018    -10256547     175820.6    -10072985   -6.5771558   -6.5771558    59.839041    83.445676  -0.13713849 
   22600    -10078185    931.60845    1042.0924    -10255902    177716.33    -10069018    32.014885    32.014885    59.838841    83.643373  -0.13829107 
   22800    -10083075    918.07643    975.77551    -10258210    175134.92    -10074496   -14.753692   -14.753692    59.838641    83.613848  -0.13966677 
   23000    -10082648    918.75143    713.60303    -10257912    175263.69    -10076374   -29.605673   -29.605673    59.838441    83.648542  -0.14204121 
   23200    -10078209    928.62875    808.53116    -10255357    177147.91    -10071094     25.97093     25.97093    59.838241    83.433367  -0.14349463 
   23400    -10081558    920.09914    229.06827    -10257079    175520.78    -10079543   -2.4599544   -2.4599544    59.838041    83.546204  -0.14512545 
   23600    -10083857    915.77209   -277.32261    -10258552    174695.34    -10086297   -69.026114   -69.026114    59.837841    83.444221  -0.14749415 
   23800    -10079100     928.5462   -67.705184    -10256233    177132.17    -10079696   -36.892077   -36.892077    59.837641    83.602776  -0.14846656 
   24000    -10079549    923.64871    260.38855    -10255747    176197.91    -10077258    9.6929462    9.6929462    59.837441    83.429082  -0.14919567 
   24200    -10083932    920.49203    395.58847    -10259527    175595.73    -10080454    13.548842    13.548842    59.837241     83.41435  -0.14736667 
   24400    -10080882    921.70795   -410.73352    -10256710    175827.68    -10084497   -18.525063   -18.525063    59.837041    83.464158  -0.14643772 
   24600    -10078488    930.92996   -101.98307    -10256075     177586.9    -10079386   -11.738519   -11.738519    59.836841    83.430782  -0.14672548 
   24800    -10082843    920.24767    495.50084    -10258392    175549.11    -10078486   -28.475573   -28.475573    59.836641    83.361793  -0.14526559 
   25000    -10082094     920.3951    866.80469    -10257671    175577.24    -10074473    24.977732    24.977732    59.836441    83.439279  -0.14287111 
   25200    -10078574    927.53361   -921.63909    -10255513       176939    -10086691   -30.290251   -30.290251    59.836241    83.422705  -0.14272631 
   25400    -10081854    923.44542    259.34173    -10258013    176159.13    -10079573    5.6756069    5.6756069    59.836041    83.403301   -0.1424518 
   25600    -10083155    917.70359    486.68454    -10258219     175063.8    -10078876   -16.932252   -16.932252    59.835841    83.438673  -0.14239869 
   25800    -10079077    928.10126   -218.52926    -10256125    177047.29    -10081001    -29.68141    -29.68141    59.835641    83.628371  -0.14442084 
   26000    -10080464    922.96131    709.71089    -10256530    176066.78    -10074221   -48.655683   -48.655683    59.835441    83.438024  -0.14673401 
   26200    -10083424    915.34089    1393.3478    -10258037    174613.08    -10071178    26.718031    26.718031    59.835241    83.640488  -0.14931516 
   26400    -10080170    919.57928   -1115.5141    -10255592    175421.61    -10089994    11.510604    11.510604    59.835041    83.505759  -0.15202692 
   26600    -10079582    923.96912    9.1085548    -10255841    176259.03    -10079502   -27.287226   -27.287226    59.834841    83.531946  -0.15409235 
   26800    -10082850    923.22763    251.96752    -10258968    176117.58    -10080634    -36.49982    -36.49982    59.834641    83.521913  -0.15786862 
   27000    -10081462    921.76291   -454.56255    -10257300    175838.17    -10085462   -4.4838641   -4.4838641    59.834441    83.464687  -0.15954569 
   27200    -10079015    926.45175    385.46087    -10255748    176732.62    -10075623   -63.961094   -63.961094    59.834241    83.380832  -0.16106916 
   27400    -10082028    917.93043   -433.85105    -10257135    175107.07    -10085846    -20.12843    -20.12843    59.834041     83.48853  -0.16422657 
   27600    -10082614      916.197    660.41394    -10257390     174776.4    -10076806    13.290589    13.290589    59.833841    83.562947  -0.16458929 
   27800    -10079344    927.67965   -120.36082    -10256311    176966.86    -10080403    3.6682182    3.6682182    59.833641     83.44312  -0.16659736 
   28000    -10080897    923.16166    559.11818    -10257002       176105    -10075979    34.764492    34.764492    59.833441    83.629647  -0.16719936 
   28200    -10083116    919.87801   -54.562173    -10258594     175478.6    -10083596   -32.761539   -32.761539    59.833241    83.403342  -0.16829167 
   28400    -10080069    929.44542   -147.17064    -10257373     177303.7    -10081364   -50.675805   -50.675805    59.833041    83.316194  -0.17129664 
   28600    -10079766    922.72404   -539.64736    -10255788    176021.51    -10084517    57.071365    57.071365    59.832841    83.520044  -0.17031503 
   28800    -10082789    917.82501    49.485191    -10257876    175086.96    -10082353    42.810331    42.810331    59.832641    83.395058  -0.16827104 
   29000    -10081246    918.64973    536.48092    -10256491    175244.29    -10076527    46.948297    46.948297    59.832441    83.647626  -0.16553742 
   29200    -10079266    928.08242   -274.17296    -10256310    177043.69    -10081680    34.297976    34.297976    59.832241    83.673287  -0.16226218 
   29400    -10082238    921.37734    549.02247    -10258003    175764.61    -10077409    9.3998655    9.3998655    59.832041    83.536003  -0.16085515 
   29600    -10082240    919.45133    544.06661    -10257637     175397.2    -10077455   -5.4613271   -5.4613271    59.831841    83.557288  -0.16021475 
   29800    -10079213    924.93165     1019.267    -10255655    176442.64    -10070247    29.370557    29.370557    59.831641    83.455344  -0.16062381 
   30000    -10081172    923.82193     118.5437    -10257403    176230.95    -10080130    37.726865    37.726865    59.831441    83.589992  -0.16036221 
   30200    -10082977    919.20152   -924.59531    -10258326    175349.55    -10091111    2.8007918    2.8007918    59.831241    83.530835  -0.16057665 
   30400    -10079905    920.44335    510.14326    -10255491    175586.44    -10075415   -9.9115441   -9.9115441    59.831041    83.398809  -0.16249968 
   30600    -10080076    925.33947   -16.170211    -10256596    176520.44    -10080218    5.6265743    5.6265743    59.830841    83.535974  -0.16447153 
   30800    -10083052    920.47754   -521.71993    -10258645    175592.96    -10087641    12.155192    12.155192    59.830641    83.413062  -0.16612835 
   31000    -10080705    923.95553     125.5695    -10256961    176256.44    -10079600   -18.243272   -18.243272    59.830441    83.390124    -0.167877 
   31200    -10079135    929.63748   -528.59966    -10256475    177340.34    -10083789   -13.940634   -13.940634    59.830241    83.501399  -0.16972299 
   31400    -10082602    920.89649    1408.9895    -10258275    175672.89    -10070219    1.8847103    1.8847103    59.830041    83.545466  -0.16965192 
   31600    -10081879    924.23899    1090.1823    -10258189    176310.51    -10072296   -46.643948   -46.643948    59.829841    83.285076  -0.17248961 
   31800    -10079182    931.34528    140.36706    -10256848    177666.13    -10077947   -2.2813549   -2.2813549    59.829641    83.484156  -0.17777033 
   32000    -10081629    923.08027   -1023.0607    -10257718    176089.47    -10090635   -26.681883   -26.681883    59.829441    83.386664  -0.17935149 
   32200    -10082667    920.33956   -540.03022    -10258234    175566.64    -10087419   -39.478376   -39.478376    59.829241    83.534815  -0.18190853 
   32400    -10079473     924.0496     1147.432    -10255748    176274.38    -10069379    13.328632    13.328632    59.829041    83.609254  -0.18238857 
   32600    -10080614    925.82178   -983.18134    -10257226    176612.45    -10089269    61.367618    61.367618    59.828841    83.639572  -0.18244105 
   32800    -10083217    919.31407   -107.97155    -10258589    175371.02    -10084167    86.958477    86.958477    59.828641     83.48382  -0.18040359 
   33000    -10080227    925.07541   -182.98859    -10256697    176470.07    -10081837   -41.898186   -41.898186    59.828441    83.472351  -0.17921383 
   33200    -10079721    925.24619   -91.982359    -10256224    176502.65    -10080531   -2.8728614   -2.8728614    59.828241    83.346147  -0.17997449 
   33400    -10082643    919.08483   -220.18861    -10257970    175327.29    -10084580    19.098891    19.098891    59.828041    83.474807  -0.17679363 
   33600    -10081240    922.43401    1228.9172    -10257206    175966.19    -10070436    17.883375    17.883375    59.827841     83.40875  -0.17478849 
   33800    -10079209    930.64175    43.116967    -10256741    177531.92    -10078830    8.8626544    8.8626544    59.827641    83.250419  -0.17445557 
   34000    -10082097    922.08107    1479.5979    -10257996    175898.86    -10069093    10.646398    10.646398    59.827441    83.578299   -0.1741907 
   34200    -10082310    923.27371    -595.9525    -10258437    176126.37    -10087553    3.5912986    3.5912986    59.827241    83.599691  -0.17427247 
   34400    -10079604     927.2135   -111.74154    -10256482    176877.94    -10080587   -4.1429466   -4.1429466    59.827041    83.556841  -0.17467511 
   34600    -10080895    925.51516   -1071.5407    -10257448    176553.96    -10090326    23.605301    23.605301    59.826841    83.436191  -0.17491734 
   34800    -10082710    918.80505   -320.27639    -10257984    175273.92    -10085528     7.579071     7.579071    59.826641    83.611731   -0.1750901 
   35000    -10080097    928.54164    872.61512    -10257228     177131.3    -10072423   -22.332676   -22.332676    59.826441    83.500494  -0.17737596 
   35200    -10080146    924.81403      100.684    -10256566    176420.21    -10079260    18.137426    18.137426    59.826241    83.528447  -0.18007191 
   35400    -10082565      921.311   -333.68583    -10258317    175751.96    -10085500    -15.66815    -15.66815    59.826041    83.574729   -0.1829394 
   35600    -10081061    922.37485   -331.40794    -10257016     175954.9    -10083978   -17.046758   -17.046758    59.825841    83.549819  -0.18597755 
   35800    -10079771    924.24042    110.78229    -10256082    176310.78    -10078796    6.0043013    6.0043013    59.825641    83.405137   -0.1861287 
   36000    -10081965    920.49157   -1055.3053    -10257560    175595.64    -10091255   -3.8520948   -3.8520948    59.825441    83.402484  -0.18934927 
   36200    -10081775    920.01518   -196.49441    -10257280    175504.76    -10083504   -27.616976   -27.616976    59.825241    83.351484  -0.19144583 
   36400    -10079983     922.6564    467.00656    -10255992    176008.61    -10075874   -57.819787   -57.819787    59.825041    83.443564  -0.19390884 
   36600    -10081277    921.99035    859.69543    -10257159    175881.55    -10073717    39.253552    39.253552    59.824841    83.480796  -0.19492927 
   36800    -10082276    919.59423    258.61891    -10257701    175424.46    -10080002    3.3988531    3.3988531    59.824641    83.426099  -0.19409134 
   37000    -10080221    925.07854   -901.49909    -10256691    176470.67    -10088156    2.3256812    2.3256812    59.824441    83.497313    -0.192013 
   37200    -10080442    925.49193    -205.3767    -10256992    176549.52    -10082249   -10.160941   -10.160941    59.824241    83.439738  -0.19198634 
   37400    -10082275    920.81329    697.71311    -10257932    175657.01    -10076140    46.145546    46.145546    59.824041    83.519682   -0.1896331 
   37600    -10080969    921.43122   -768.30246    -10256744    175774.89    -10087731    45.809216    45.809216    59.823841     83.56848  -0.18812442 
   37800    -10079836    926.26847   -1560.5615    -10256533    176697.66    -10093581   -15.116274   -15.116274    59.823641     83.38476  -0.18637434 
   38000    -10081991    924.34887    868.17117    -10258323    176331.47    -10074359    8.2881759    8.2881759    59.823441    83.429804  -0.18536581 
