LAMMPS (31 Mar 2017)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-1.0556 -1.05564 -1.05564) to (83.4466 83.4466 83.4466)
  6 by 4 by 4 MPI processor grid
  reading atoms ...
  63998 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          0         
  special bond factors coul: 0          0          0         
  0 = max # of 1-2 neighbors
  0 = max # of 1-3 neighbors
  0 = max # of 1-4 neighbors
  1 = max # of special neighbors
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          1         
  special bond factors coul: 0          0          1         
  0 = max # of 1-2 neighbors
  0 = max # of 1-3 neighbors
  1 = max # of special neighbors
1 atoms in group pull
3199 atoms in group freez
PPPM initialization ...
WARNING: Using 12-bit tables for long-range coulomb (../kspace.cpp:321)
  G vector (1/distance) = 0.294194
  grid = 125 125 125
  stencil order = 5
  estimated absolute RMS force accuracy = 0.000416749
  estimated relative force accuracy = 1.25503e-06
  using double precision FFTs
  3d grid and FFT values/proc = 44109 31250
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 10000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 13 13 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 13.91 | 14.36 | 15.08 Mbytes
Step TotEng Temp Press PotEng KinEng Enthalpy f_9[3] f_9[4] f_9[5] f_9[6] f_9[7] 
       0    -10423425            0   -95435.651    -10423425            0    -11263254            0            0    59.861441    83.544316            0 
     200    -10447609   0.36674817    11.605765    -10447679    69.961944    -10447512   -2.7193418   -2.7193418    59.861241    83.483618 -0.0018429785 
     400    -10447561   0.59351947    13.784118    -10447674     113.2215    -10447446   -22.512797   -22.512797    59.861041    83.492948 -0.0036601305 
     600    -10447493   0.88251829   -14.237532    -10447661    168.35175    -10447611   -6.0951335   -6.0951335    59.860841    83.520163 -0.0057419843 
     800    -10447395    1.0442521   -3.1669028    -10447594    199.20456    -10447422    6.8440005    6.8440005    59.860641    83.510233 -0.0072954194 
    1000    -10447255    1.4768239    43.011474    -10447537    281.72321    -10446897   -11.120676   -11.120676    59.860441    83.509302 -0.0087895107 
    1200    -10447054     1.866366    692.64808    -10447410    356.03338    -10441286   -33.784516   -33.784516    59.860241      83.4721 -0.010911566 
    1400    -10446763    2.4171476   -211.60109    -10447224    461.10209    -10448526   -6.7903422   -6.7903422    59.860041    83.493075 -0.013114165 
    1600    -10446339    3.6722464     45.23106    -10447040    700.52838    -10445962    21.172791    21.172791    59.859841    83.554517 -0.014326338 
    1800    -10445713     5.427824    115.36306    -10446748    1035.4275    -10444752   -2.3149806   -2.3149806    59.859641    83.509718 -0.015581826 
    2000    -10444794    8.1662783    -422.4757    -10446351    1557.8229    -10448315   -55.159274   -55.159274    59.859441    83.427523 -0.017788209 
    2200    -10443409    11.483144   -817.21512    -10445600     2190.558    -10450223   -21.535494   -21.535494    59.859241    83.482291 -0.020334989 
    2400    -10441350    17.378155    156.52284    -10444665    3315.1072    -10440045    56.960926    56.960926    59.859041    83.605445 -0.021369165 
    2600    -10438220    24.624676   -104.38716    -10442917    4697.4746    -10439090     3.176355     3.176355    59.858841    83.476931 -0.021846551 
    2800    -10433497    37.076371   -1425.2285    -10440569     7072.796    -10445400   -88.293101   -88.293101    59.858641     83.39173 -0.024041725 
    3000    -10426301    55.090966    157.51452    -10436810    10509.312    -10424985   -48.621022   -48.621022    59.858441    83.438499 -0.026901971 
    3200    -10415369     85.70962   -28.192377    -10431719    16350.216    -10415605    104.86647    104.86647    59.858241     83.67196 -0.027764985 
    3400    -10398840    126.14472    1179.0524    -10422904    24063.733    -10388955    2.2992946    2.2992946    59.858041    83.500537 -0.027115671 
    3600    -10374175    191.37472    455.25539    -10410682    36507.197    -10370343   -71.232645   -71.232645    59.857841    83.445198 -0.030430722 
    3800    -10338178    284.49493    578.32181    -10392449    54271.078    -10333285   -59.850438   -59.850438    59.857641     83.45749 -0.034785173 
    4000    -10287737    411.37382   -1082.1356    -10366212    78474.863    -10296970    73.943472    73.943472    59.857441    83.631505  -0.03634413 
    4200    -10221899    577.68802    162.00346    -10332100    110201.44    -10220504   0.28110645   0.28110645    59.857241    83.592583 -0.039161209 
    4400    -10146059    763.91723    -217.2907    -10291786    145727.07    -10147953   -56.753347   -56.753347    59.857041    83.474566 -0.042552101 
    4600    -10078691    933.80652    -284.2962    -10256827    178135.64    -10081195   -24.816642   -24.816642    59.856841    83.457546 -0.045918526 
    4800    -10060578    969.28996   -523.26907    -10245483    184904.56    -10065201   -41.795086   -41.795086    59.856641    83.473817 -0.048366314 
    5000    -10092460    891.51951   -1262.4368    -10262529    170068.85    -10103562   -53.042924   -53.042924    59.856441    83.644479 -0.050822564 
    5200    -10088684    900.85691    297.74016    -10260534    171850.08    -10086067   -26.460029   -26.460029    59.856241      83.6109 -0.053783967 
    5400    -10067688     957.1199   -552.62537    -10250271    182582.97    -10072563   -22.638995   -22.638995    59.856041    83.545947 -0.056410379 
    5600    -10083344     919.0316    823.08647    -10258661    175317.13    -10076108   -47.508105   -47.508105    59.855841    83.322818 -0.058217519 
    5800    -10091337    897.87331    107.52613    -10262618    171280.92    -10090393    12.810444    12.810444    59.855641    83.653934 -0.059251344 
    6000    -10073156    940.87462   -1517.0215    -10252640    179483.97    -10086534   -5.1098233   -5.1098233    59.855441    83.512089 -0.062582918 
    6200    -10076661    934.49516    17.746957    -10254928    178267.01    -10076505    58.550627    58.550627    59.855241    83.643596 -0.063646038 
    6400    -10090495    899.53607    430.53137    -10262093    171598.11    -10086712    27.553305    27.553305    59.855041    83.686365 -0.062542719 
    6600    -10079381       930.17    1080.8564    -10256823    177441.93    -10069874    -36.45097    -36.45097    59.854841    83.431973 -0.060821693 
    6800    -10073675     941.2421    145.40544    -10253229    179554.07    -10072394    19.846659    19.846659    59.854641    83.507835 -0.060300881 
    7000    -10087399    906.61422    969.59117    -10260347    172948.36    -10078878   -48.537939   -48.537939    59.854441    83.369498 -0.058993592 
    7200    -10083531     915.2299    351.20286    -10258123    174591.91    -10080442    1.9101806    1.9101806    59.854241     83.47319 -0.058138807 
    7400    -10073366    941.46725   -62.280543    -10252963    179597.02    -10073915     69.86839     69.86839    59.854041    83.640599 -0.056813823 
    7600    -10083692    917.56011   -135.05657    -10258728    175036.43    -10084880    62.942622    62.942622    59.853841    83.525028 -0.056202509 
    7800    -10086682    912.31486    449.57626    -10260718    174035.83    -10082732    5.6812908    5.6812908    59.853641    83.470729 -0.055967428 
    8000    -10075185    938.60954    -87.96576    -10254236    179051.88    -10075959   -28.513856   -28.513856    59.853441    83.488213 -0.057703975 
    8200    -10079349    927.52574   -372.29428    -10256287     176937.5    -10082627   -38.985995   -38.985995    59.853241    83.505849 -0.060861671 
    8400    -10087718    907.08531   -114.24831    -10260756    173038.23    -10088722   -33.432937   -33.432937    59.853041     83.44209 -0.060834491 
    8600    -10078521    930.29888    156.34457    -10255988    177466.51    -10077146   -7.6387885   -7.6387885    59.852841    83.631959 -0.063732751 
    8800    -10076367    934.74067   -967.14478    -10254681    178313.84    -10084886    2.3700157    2.3700157    59.852641    83.619142 -0.066261013 
    9000    -10086697    906.92834   -1131.2238    -10259705    173008.28    -10096649    58.831756    58.831756    59.852441    83.585062 -0.067395264 
    9200    -10082064    920.40485   -434.43189    -10257643     175579.1    -10085887   -25.030416   -25.030416    59.852241    83.358009 -0.068765933 
    9400    -10074897    938.53302   -241.02488    -10253934    179037.28    -10077020   -43.832244   -43.832244    59.852041     83.36416 -0.071008235 
    9600    -10083918    917.72717    1019.6896    -10258986     175068.3    -10074955   -23.969208   -23.969208    59.851841    83.335196 -0.074738411 
    9800    -10085157    912.38414    457.05834    -10259206    174049.04    -10081138   -6.2310561   -6.2310561    59.851641     83.52314 -0.077950111 
   10000    -10075772    937.02464    116.31997    -10254522    178749.54    -10074748    30.960223    30.960223    59.851441    83.431654 -0.080203054 
   10200    -10080825     918.5417   -579.11882    -10256049    175223.68    -10085924   -36.839241   -36.839241    59.851241    83.453704 -0.084326228 
   10400    -10086467    907.13673    31.366961    -10259515    173048.03    -10086191   -41.139974   -41.139974    59.851041    83.434522 -0.087106915 
   10600    -10077815    928.59208   -1119.6157    -10254956    177140.92    -10087679   -45.291234   -45.291234    59.850841    83.546342 -0.087971826 
   10800    -10077942    933.33135   -569.48023    -10255987       178045    -10082956     14.13455     14.13455    59.850641    83.573708 -0.088872048 
   11000    -10086344    912.34762    984.65916    -10260386    174042.08    -10077692    52.870539    52.870539    59.850441    83.737509 -0.087004098 
   11200    -10080593    923.48915   -538.09419    -10256760    176167.47    -10085329    46.564564    46.564564    59.850241    83.600055 -0.084620924 
   11400    -10076354    934.66032    730.07284    -10254652    178298.51    -10069928   -41.236203   -41.236203    59.850041    83.448282 -0.082115714 
   11600    -10084561    914.88709   -1092.7753    -10259088    174526.51    -10094175   -26.981815   -26.981815    59.849841    83.449143 -0.082175465 
   11800    -10083217    919.35826    574.23501    -10258596    175379.45    -10078169  -0.31703716  -0.31703716    59.849641    83.497738 -0.082358429 
   12000    -10076317    935.20249   -978.62765    -10254719    178401.94    -10084939    66.128224    66.128224    59.849441    83.801119 -0.082487057 
   12200    -10082135    920.07658    1202.5173    -10257651    175516.48    -10071563    -15.03837    -15.03837    59.849241    83.607482  -0.08291143 
   12400    -10085079    913.79133   -707.06847    -10259396    174317.48    -10091298   -42.853952   -42.853952    59.849041    83.480349 -0.082852845 
   12600    -10077695    929.55613   -1177.0265    -10255020    177324.82    -10088063   -1.2411836   -1.2411836    59.848841    83.667497 -0.083479593 
   12800    -10079571    929.23339   -3.2254856    -10256834    177263.26    -10079599    4.3629591    4.3629591    59.848641    83.544614 -0.082760833 
   13000    -10085225     915.1766   -625.99027    -10259807    174581.74    -10090731   -15.705352   -15.705352    59.848441    83.638599 -0.084200803 
   13200    -10079809    926.42055    677.15903    -10256535    176726.67    -10073852   -15.571217   -15.571217    59.848241    83.645857 -0.088483663 
   13400    -10077899     933.4376    50.201771    -10255965    178065.26    -10077457    5.4625302    5.4625302    59.848041    83.618365  -0.09094661 
   13600    -10084376    913.03127   -826.87516    -10258548    174172.49    -10091651    -14.19193    -14.19193    59.847841    83.511902 -0.092640943 
   13800    -10082023     919.9581   -59.176408    -10257517    175493.88    -10082544   -17.320316   -17.320316    59.847641    83.546862 -0.096507645 
   14000    -10077119    934.21742    107.10516    -10255333    178214.03    -10076176   -28.466912   -28.466912    59.847441    83.454158 -0.097901343 
   14200    -10082742    921.16479    59.948429    -10258466    175724.07    -10082215   -50.648369   -50.648369    59.847241     83.54163  -0.10138676 
   14400    -10083608    916.87231    -79.35421    -10258513    174905.22    -10084306   -19.620919   -19.620919    59.847041     83.43394  -0.10602198 
   14600    -10077855    934.17332   -361.74523    -10256061    178205.61    -10081039    28.126223    28.126223    59.846841    83.500573  -0.10852352 
   14800    -10080923    923.71621    1612.7135    -10257134    176210.78    -10066745   -12.306481   -12.306481    59.846641    83.545825  -0.10868843 
   15000    -10084634    915.16779   -418.46242    -10259214    174580.06    -10088315   -27.044901   -27.044901    59.846441    83.383229  -0.11063504 
   15200    -10078992    924.12081   -530.39261    -10255280    176287.97    -10083662    8.6476637    8.6476637    59.846241    83.441875  -0.10916875 
   15400    -10078748    931.93052    147.81697    -10256526    177777.77    -10077447    -14.17764    -14.17764    59.846041    83.467502  -0.10773729 
   15600    -10084705    912.89189    552.34154    -10258851     174145.9    -10079849    37.562013    37.562013    59.845841    83.615286  -0.10591477 
   15800    -10081011    924.63759    93.445099    -10257398    176386.55    -10080189    25.681133    25.681133    59.845641    83.537541  -0.10595546 
   16000    -10077302    929.64995    1304.5532    -10254645    177342.72    -10065825   -55.967338   -55.967338    59.845441    83.439798  -0.10514263 
   16200    -10083676    915.77912    12.167459    -10258372    174696.68    -10083569    6.0720395    6.0720395    59.845241    83.652548  -0.10535367 
   16400    -10083164    916.15725   -793.90535    -10257933    174768.81    -10090149   -24.976301   -24.976301    59.845041    83.451978  -0.10293949 
   16600    -10077234    932.54052    110.56039    -10255128    177894.13    -10076261   -16.679466   -16.679466    59.844841    83.434052  -0.10323641 
   16800    -10081656    920.95282    694.49322    -10257340    175683.63    -10075549    16.841447    16.841447    59.844641    83.675346  -0.10258468 
   17000    -10084699    911.28765     432.7928    -10258539    173839.88    -10080894    52.175278    52.175278    59.844441    83.603413  -0.10260605 
   17200    -10078445    933.33472    55.333178    -10256490    178045.64    -10077958   -29.781714   -29.781714    59.844241    83.469257   -0.1045911 
   17400    -10079599    927.13151    37.555475    -10256461     176862.3    -10079268    7.7795216    7.7795216    59.844041    83.518614  -0.10772387 
   17600    -10084891    914.40545   -409.50372    -10259326    174434.64    -10088493   -2.6082518   -2.6082518    59.843841    83.431882  -0.10975831 
   17800    -10080160     923.6983   -316.91003    -10256368    176207.37    -10082949   -23.488353   -23.488353    59.843641    83.485574  -0.11369688 
   18000    -10078022    926.97838   -791.03442    -10254856    176833.08    -10084990   -31.625581   -31.625581    59.843441    83.393942  -0.11621515 
   18200    -10083808    914.12132   -814.54388    -10258189    174380.43    -10090976   -59.167905   -59.167905    59.843241    83.376223  -0.12052303 
   18400    -10082206    917.74394   -315.63236    -10257277     175071.5    -10084983    48.090446    48.090446    59.843041    83.613592  -0.12370197 
   18600    -10077773    926.92063    29.877952    -10254595    176822.07    -10077510    33.502884    33.502884    59.842841    83.698057  -0.12538418 
   18800    -10082359    919.31395    320.40668    -10257730       175371    -10079541   -77.309184   -77.309184    59.842641    83.346514  -0.12702687 
   19000    -10083653    915.50864   -636.95659    -10258299    174645.08    -10089257   -19.538546   -19.538546    59.842441    83.329317  -0.12903302 
   19200    -10078128    928.46697     218.0623    -10255245    177117.05    -10076208   -25.092001   -25.092001    59.842241    83.287172  -0.12961047 
   19400    -10080584    921.40892    392.96034    -10256354    175770.64    -10077126    41.912896    41.912896    59.842041    83.541039  -0.12839252 
   19600    -10084547    914.87161   -1347.1794    -10259071    174523.56    -10096400    9.1779196    9.1779196    59.841841    83.470388  -0.12916753 
   19800    -10079429    928.51372    90.808966    -10256555    177125.97    -10078630     6.764837     6.764837    59.841641    83.695103  -0.12908011 
   20000    -10078543    930.75827   -324.89979    -10256097    177554.15    -10081403    66.780047    66.780047    59.841441    83.475328  -0.12777091 
   20200    -10084200    916.91065   -378.18016    -10259113    174912.54    -10087527    16.782718    16.782718    59.841241    83.683188  -0.12496418 
   20400    -10081306    924.98013   -24.706828    -10257758    176451.89    -10081524   -2.2636692   -2.2636692    59.841041    83.647575  -0.12439669 
   20600    -10077875    930.15031    -109.5107    -10255313    177438.17    -10078839   -21.240197   -21.240197    59.840841    83.565438  -0.12481191 
   20800    -10082941    917.20485    349.76687    -10257910    174968.66    -10079865    11.395769    11.395769    59.840641    83.522644   -0.1245836 
   21000    -10083346    917.24174   -891.96033    -10258322     174975.7    -10091194    20.098374    20.098374    59.840441    83.549641  -0.12228284 
   21200    -10077838    929.52101    160.11429    -10255156    177318.12    -10076428    -12.98264    -12.98264    59.840241    83.432983  -0.12115081 
   21400    -10081088    922.83498    192.56353    -10257130    176042.68    -10079394   -23.616217   -23.616217    59.840041    83.644492  -0.12117293 
   21600    -10084344    915.83201    171.16152    -10259050    174706.77    -10082839    16.570798    16.570798    59.839841    83.328819  -0.12377069 
   21800    -10079060    926.75767   -768.29349    -10255851    176790.98    -10085825    17.943469    17.943469    59.839641    83.579708  -0.12696657 
   22000    -10079396    926.19623    346.94699    -10256079    176683.88    -10076343   -20.683434   -20.683434    59.839441    83.497419  -0.12989911 
