# Exponential Bond potential for OH 			
OHbond			
N	1600	EQ	1.7623
142	1.651	1.8518042857E-01	1.2744695703E+00
143	1.662	1.7167878510E-01	1.1815470413E+00
144	1.673	1.5916155655E-01	1.0953995633E+00
145	1.684	1.4755696849E-01	1.0155331624E+00
146	1.695	1.3679847962E-01	9.4148988039E-01
147	1.706	1.2682440022E-01	8.7284514946E-01
148	1.717	1.1757753840E-01	8.0920535717E-01
149	1.728	1.0900487218E-01	7.5020558970E-01
150	1.739	1.0105724547E-01	6.9550753938E-01
151	1.750	9.3689086166E-02	6.4479756480E-01
152	1.761	8.6858144862E-02	5.9778489237E-01
153	1.772	8.0525252594E-02	5.5419994903E-01
154	1.783	7.4654096236E-02	5.1379281649E-01
155	1.794	6.9211010276E-02	4.7633179818E-01
156	1.805	6.4164783782E-02	4.4160209072E-01
157	1.816	5.9486481434E-02	4.0940455220E-01
158	1.827	5.5149277607E-02	3.7955456027E-01
159	1.838	5.1128302553E-02	3.5188095357E-01
160	1.849	4.7400499796E-02	3.2622505021E-01
161	1.860	4.3944493925E-02	3.0243973795E-01
162	1.871	4.0740468024E-02	2.8038863059E-01
163	1.882	3.7770050048E-02	2.5994528594E-01
164	1.893	3.5016207466E-02	2.4099248084E-01
165	1.904	3.2463149605E-02	2.2342153892E-01
166	1.915	3.0096237102E-02	2.0713170751E-01
167	1.926	2.7901897958E-02	1.9202957989E-01
168	1.937	2.5867549721E-02	1.7802855968E-01
169	1.948	2.3981527335E-02	1.6504836432E-01
170	1.959	2.2233016251E-02	1.5301456470E-01
171	1.970	2.0611990418E-02	1.4185815841E-01
172	1.981	1.9109154789E-02	1.3151517405E-01
173	1.992	1.7715892029E-02	1.2192630440E-01
174	2.003	1.6424213099E-02	1.1303656641E-01
175	2.014	1.5226711445E-02	1.0479498586E-01
176	2.025	1.4116520532E-02	9.7154305105E-02
177	2.036	1.3087274468E-02	9.0070712098E-02
178	2.047	1.2133071504E-02	8.3503589152E-02
179	2.058	1.1248440191E-02	7.7415280049E-02
180	2.069	1.0428308009E-02	7.1770874113E-02
181	2.080	9.6679722767E-03	6.6538006034E-02
182	2.091	8.9630731913E-03	6.1686670277E-02
183	2.102	8.3095688251E-03	5.7189049037E-02
184	2.113	7.7037119507E-03	5.3019352723E-02
185	2.124	7.1420285539E-03	4.9153672085E-02
186	2.135	6.6212979135E-03	4.5569841111E-02
187	2.146	6.1385341332E-03	4.2247309933E-02
188	2.157	5.6909690211E-03	3.9167026986E-02
189	2.168	5.2760362158E-03	3.6311329772E-02
190	2.179	4.8913564715E-03	3.3663843576E-02
191	2.190	4.5347240150E-03	3.1209387577E-02
192	2.201	4.2040938974E-03	2.8933887800E-02
193	2.212	3.8975702688E-03	2.6824296413E-02
194	2.223	3.6133955071E-03	2.4868516910E-02
195	2.234	3.3499401397E-03	2.3055334754E-02
196	2.245	3.1056935001E-03	2.1374353063E-02
197	2.256	2.8792550655E-03	1.9815933004E-02
198	2.267	2.6693264264E-03	1.8371138517E-02
199	2.278	2.4747038414E-03	1.7031685075E-02
200	2.289	2.2942713345E-03	1.5789892185E-02
201	2.300	2.1269942966E-03	1.4638639343E-02
202	2.311	1.9719135525E-03	1.3571325206E-02
203	2.322	1.8281398614E-03	1.2581829741E-02
204	2.333	1.6948488176E-03	1.1664479130E-02
205	2.344	1.5712761234E-03	1.0814013237E-02
206	2.355	1.4567132067E-03	1.0025555449E-02
207	2.366	1.3505031580E-03	9.2945847072E-03
208	2.377	1.2520369632E-03	8.6169095886E-03
209	2.388	1.1607500123E-03	7.9886442694E-03
210	2.399	1.0761188613E-03	7.4061862443E-03
211	2.410	9.9765823073E-04	6.8661956692E-03
212	2.421	9.2491822339E-04	6.3655762105E-03
213	2.432	8.5748174435E-04	5.9014572908E-03
214	2.443	7.9496210941E-04	5.4711776284E-03
215	2.454	7.3700082779E-04	5.0722699779E-03
216	2.465	6.8326554653E-04	4.7024469823E-03
217	2.476	6.3344814480E-04	4.3595880578E-03
218	2.487	5.8726296707E-04	4.0417272338E-03
219	2.498	5.4444518516E-04	3.7470418800E-03
220	2.509	5.0474927975E-04	3.4738422556E-03
221	2.520	4.6794763246E-04	3.2205618201E-03
222	2.531	4.3382922079E-04	2.9857482505E-03
223	2.542	4.0219840802E-04	2.7680551137E-03
224	2.553	3.7287382145E-04	2.5662341463E-03
225	2.564	3.4568731241E-04	2.3791280964E-03
226	2.575	3.2048299207E-04	2.2056640886E-03
227	2.586	2.9711633756E-04	2.0448474711E-03
228	2.597	2.7545336329E-04	1.8957561135E-03
229	2.608	2.5536985268E-04	1.7575351182E-03
230	2.619	2.3675064583E-04	1.6293919190E-03
231	2.630	2.1948897928E-04	1.5105917362E-03
232	2.641	2.0348587373E-04	1.4004533636E-03
233	2.652	1.8864956657E-04	1.2983452620E-03
234	2.663	1.7489498566E-04	1.2036819385E-03
235	2.674	1.6214326152E-04	1.1159205886E-03
236	2.685	1.5032127513E-04	1.0345579843E-03
237	2.696	1.3936123859E-04	9.5912758839E-04
238	2.707	1.2920030652E-04	8.8919687898E-04
239	2.718	1.1978021559E-04	8.2436486986E-04
240	2.729	1.1104695054E-04	7.6425981100E-04
241	2.740	1.0295043437E-04	7.0853705690E-04
242	2.751	9.5444241243E-05	6.5687709046E-04
243	2.762	8.8485330271E-05	6.0898369078E-04
244	2.773	8.2033798699E-05	5.6458223468E-04
245	2.784	7.6052653116E-05	5.2341812193E-04
246	2.795	7.0507597329E-05	4.8525531541E-04
247	2.806	6.5366835704E-05	4.4987498764E-04
248	2.817	6.0600890852E-05	4.1707426601E-04
249	2.828	5.6182434601E-05	3.8666506952E-04
250	2.839	5.2086131298E-05	3.5847303027E-04
251	2.850	4.8288492531E-05	3.3233649368E-04
252	2.861	4.4767742446E-05	3.0810559151E-04
253	2.872	4.1503692881E-05	2.8564138252E-04
254	2.883	3.8477627609E-05	2.6481505581E-04
255	2.894	3.5672195018E-05	2.4550719214E-04
256	2.905	3.3071308615E-05	2.2760707925E-04
257	2.916	3.0660054783E-05	2.1101207697E-04
258	2.927	2.8424607271E-05	1.9562702871E-04
259	2.938	2.6352147908E-05	1.8136371581E-04
260	2.949	2.4430793106E-05	1.6814035173E-04
261	2.960	2.2649525719E-05	1.5588111300E-04
262	2.971	2.0998131868E-05	1.4451570453E-04
263	2.982	1.9467142378E-05	1.3397895649E-04
264	2.993	1.8047778476E-05	1.2421045062E-04
265	3.004	1.6731901456E-05	1.1515417382E-04
266	3.015	1.5511966014E-05	1.0675819693E-04
267	3.026	1.4380976977E-05	9.8974376993E-05
268	3.037	1.3332449196E-05	9.1758081184E-05
269	3.048	1.2360370359E-05	8.5067930897E-05
270	3.059	1.1459166517E-05	7.8865564467E-05
271	3.070	1.0623670121E-05	7.3115417211E-05
272	3.081	9.8490903911E-06	6.7784517489E-05
273	3.092	9.1309858486E-06	6.2842297651E-05
274	3.103	8.4652388451E-06	5.8260418755E-05
275	3.114	7.8480319532E-06	5.4012608074E-05
276	3.125	7.2758260772E-06	5.0074508446E-05
277	3.136	6.7453401593E-06	4.6423538605E-05
278	3.147	6.2535323662E-06	4.3038763704E-05
279	3.158	5.7975826469E-06	3.9900775271E-05
280	3.169	5.3748765625E-06	3.6991579921E-05
281	3.180	4.9829902946E-06	3.4294496178E-05
282	3.191	4.6196767475E-06	3.1794058827E-05
283	3.202	4.2828526627E-06	2.9475930232E-05
284	3.213	3.9705866737E-06	2.7326818126E-05
285	3.224	3.6810882313E-06	2.5334399390E-05
286	3.235	3.4126973368E-06	2.3487249393E-05
287	3.246	3.1638750230E-06	2.1774776483E-05
288	3.257	2.9331945301E-06	2.0187161253E-05
289	3.268	2.7193331244E-06	1.8715300237E-05
290	3.279	2.5210645136E-06	1.7350753707E-05
291	3.290	2.3372518154E-06	1.6085697285E-05
292	3.301	2.1668410385E-06	1.4912877072E-05
293	3.312	2.0088550387E-06	1.3825568057E-05
294	3.323	1.8623879162E-06	1.2817535556E-05
295	3.334	1.7265998211E-06	1.1882999457E-05
296	3.345	1.6007121376E-06	1.1016601084E-05
297	3.356	1.4840030191E-06	1.0213372465E-05
298	3.367	1.3758032497E-06	9.4687078437E-06
299	3.378	1.2754924064E-06	8.7783372771E-06
300	3.389	1.1824953016E-06	8.1383021445E-06
301	3.400	1.0962786852E-06	7.5449324518E-06
302	3.411	1.0163481868E-06	6.9948257870E-06
303	3.422	9.4224548083E-07	6.4848278103E-06
304	3.433	8.7354565851E-07	6.0120141673E-06
305	3.444	8.0985479158E-07	5.5736737204E-06
306	3.455	7.5080767337E-07	5.1672930032E-06
307	3.466	6.9606572468E-07	4.7905418078E-06
308	3.477	6.4531505239E-07	4.4412598237E-06
309	3.488	5.9826464955E-07	4.1174442502E-06
310	3.499	5.5464472676E-07	3.8172383122E-06
311	3.510	5.1420516514E-07	3.5389206135E-06
312	3.521	4.7671408218E-07	3.2808952662E-06
313	3.532	4.4195650211E-07	3.0416827399E-06
314	3.543	4.0973312319E-07	2.8199113777E-06
315	3.554	3.7985917490E-07	2.6143095313E-06
316	3.565	3.5216335852E-07	2.4236982692E-06
317	3.576	3.2648686481E-07	2.2469846167E-06
318	3.587	3.0268246345E-07	2.0831552887E-06
319	3.598	2.8061365879E-07	1.9312708795E-06
320	3.609	2.6015390717E-07	1.7904604761E-06
321	3.620	2.4118589134E-07	1.6599166644E-06
322	3.631	2.2360084771E-07	1.5388908996E-06
